Year,Goondiwindi,Meandarra,Dalby,Roma,Emerald,Condobolin,Wellington,Dubbo,Gilgandra,Nyngan,Coonamble,Gunnedah,Narrabri,Walgett,Moree,Urana,WaggaWagga,Yanco,Merriwagga,Parkes,Longerenong,Dookie,Glenlee,Birchip,Hopetoun,Walpeup,Pinnaroo,Roseworthy,Loxton,Cummins,Waikerie,Balaklava,Rudall,PortPirie,Minnipa,Ceduna,Katanning,Esperance,Ravensthorpe,Nyabing,LakeGrace,SalmonGums,Wickepin,Hyden,Corrigin,Narembeen,Cunderdin,Northam,Kellerberrin,Merredin,SouthernCross,WonganHills,Bencubbin,Badgingarra,Dalwallinu,Carnamah,Morawa,Geraldton,Mullewa
1998,2.015613501255591,1.9354628874852104,2.250056136131286,1.240876629253373,2.0698496745685966,2.7021089882231126,2.0776754232356187,2.6499253758302195,2.4270078575150964,2.3543793628546217,2.437049207369311,2.4669803903050473,2.0573945551442576,2.390305536492611,2.4428406296614757,2.264806169650319,0.21125288057898572,2.478527806285711,1.8729080941943832,2.873275648271098,0.09947563402292492,3.230482566431065,0.12222771649151053,0.6609070847830929,0.6087653224992228,0.9556678860758686,1.0221313293477987,1.701172671944754,0.3565962872054551,1.9144285788064475,0.3517330328612538,1.5847718424032013,0.8282021354591452,0.8250616339714972,1.1027668986226182,0.6180758484892792,2.0142711520184524,2.8383246171553056,2.2080087684044476,0.787492227374066,0.25691830273617755,0.44321577373765997,0.33637942164494444,0.20096100765262,0.19601470617525044,0.545098863438198,0.6919865965120086,0.21725970367568212,0.11122147677779852,0.2254733476819574,0.09396450779202224,2.4747096640785973,0.22842071605305095,1.909752778373971,1.988272506948618,1.2114169211419075,1.0473469709710759,1.7051101099705959,0.2827108366966246
1999,2.3508252043956044,0.6277784974663814,1.0340790669633915,0.3310246545520327,1.2410806230769236,1.6967918454959903,2.5839369950939006,1.8715777310321704,1.7471015848822606,0.9210554166263735,1.167290364236264,1.7779575769230769,2.1616536923076923,0.5061232414932246,1.7815069747252743,1.7412562348648601,2.318305919923272,1.9895730736960602,1.1877894764355004,2.8366195144814275,1.0721981977067518,3.338886353653848,1.5429880766912087,1.813387663076923,2.465307032967033,0.6695724186813187,1.0838609758241757,1.2951756022561876,0.5961175626429789,2.1011092570881265,0.5409541723493388,1.0560961180361088,0.5862203908108092,0.7754218452202094,0.6818119782416374,0.07775820350549673,2.870556912667411,3.0367753855275597,1.951121098847443,2.777431354899983,1.9231752499087833,0.0759885222313168,1.9681913214714968,1.5407501796098202,1.3773406382280398,1.4411021620291935,2.4060799956269325,2.1835625971385406,0.4743832678511902,1.1541848682304001,0.406857258270599,3.0665971206161995,1.3714447209284863,2.189323809881525,2.1222388683947897,1.7389802809495192,1.809156315260667,1.732561649397965,0.4377468178549965
2000,0.14466051869340663,0.15792553439066268,0.4004992848782111,0.1597687356962742,1.085454058241758,0.9309975885290817,3.3656059055285708,1.3542801061539866,1.2469683546485555,0.5070595818967364,0.5170467909637363,0.9703373483952308,0.571886845054945,0.12384765906470209,0.29354559217034065,2.9799937918681327,3.596421039153406,1.9167476153846152,1.142095956254835,3.2886972227195344,0.050009397495604395,3.438327725604394,0.07068194731241759,1.4612578384615384,2.2766795604395598,1.643284571428571,1.8898334505494503,2.048909096703296,0.6123698956314286,3.1047281318681312,0.8018563947362638,2.4820226373626366,1.673313362637363,1.198269732967033,1.4848040769230766,0.3808977306923077,2.5033898461538455,2.4353430989010993,1.6006687175824175,2.2424590549450554,0.44819771428571437,0.07304669967032966,1.9181380000000001,0.32403231705576935,0.6630661223384617,0.6046494615384616,1.6172296450549448,1.1139036447857138,1.4225293667032966e-05,0.42596655109890114,0.30898804863846135,1.9399726340659338,0.9523681736263737,1.9287458813186797,1.5970894076923077,1.5812513945054945,0.8588039505494509,2.0330996373626373,0.4689559703296704
2001,2.8604854945054936,0.5370673252882467,0.7739427857002286,0.5789897237396758,1.2812205593406603,1.4669947617111274,2.447493869959858,2.2191845429771817,1.6576034586493396,1.1337196628106816,1.2790451196144716,2.1414142593406593,1.7581960527362637,0.6346507089214107,1.478104961516484,1.6512092030219783,3.06461967335504,1.5896492849043957,0.8676181089692152,3.049627214657703,0.33615097054945065,2.23306996367044,0.1464045636593407,1.7058369538461533,2.020247124175824,1.555008637362638,1.8315491868131861,1.1322318527472528,0.9193139329445056,2.6793999999999984,1.2197282968078025,2.6827459340659336,1.511933758241758,1.7204127472527468,1.7210444615384615,0.71488953967033,2.3551316746923074,3.168521538461538,2.8615613186813196,2.1441339360439566,1.166523596142857,0.030154259872580223,1.6576596738050215,1.518020578467863,0.6363811213166921,1.3828237799736263,1.3916283510989005,1.389051210400396,0.3887299414627282,1.1519905702967033,0.5675402179097802,2.2917143736263728,1.2708776703296698,2.42296145054945,2.0467443516483503,2.2627213186813186,1.0321129560439561,2.3947481318681323,0.57845579010989
2002,0.8633868124388965,0.34127816823063506,0.5578774303504622,0.12284682716474225,1.2881816802197803,0.36430077339868755,0.6599105943913702,1.0500122915371348,1.0765998015237306,1.189728838623909,0.8652255562987852,1.0100601433520726,0.6788110006191282,0.3033965272022905,0.5230543678203959,0.7613722204332031,0.2715039513189359,0.7920748965694506,0.48732632640784224,0.9783251794596156,0.06632479618660495,0.9015112934131978,0.39561127292406756,0.45926728096966596,0.4419440745287364,0.34249929142857144,0.2260708100956044,0.026198975465498896,0.07315257320343432,2.081075516483517,0.08153226980376563,0.3835025049163625,0.9010837054945056,0.7884927692307693,1.313214618681319,0.21067311862274724,1.6385475659340651,2.1895767692307686,1.1367017527472525,2.40252051098901,0.6152816769230769,0.0013603004214425274,0.7449181413186814,0.06567978478906043,0.11421162987658168,0.8575642747252747,0.6758920582417581,0.7596459280490673,0.047975033999280055,0.4132241026373625,0.07259712800000002,1.8476212923076927,0.8035197098901101,2.1868624901098896,1.0076498999999999,1.46831472087912,0.8511921230769229,1.9357873846153846,0.4402705615384616
2003,0.6056099858610988,0.5513195478163208,0.41445784730688223,0.27753421169174375,1.4581429285714282,0.25663517109890105,0.23492674054860982,0.2569625621856317,0.14936850519686032,1.5646357296703297,1.175891523788054,1.6141700314099245,1.5258727842338071,0.456402991279997,1.113322406678077,0.700638173142857,0.05713613407890826,2.7875026010989012,1.089300968957143,0.4407513222684592,0.015593285870886679,0.896435514280744,0.29610999184239556,0.3059888344494506,1.2672652604395607,1.08441067054945,1.8034534395604396,1.3245526989010987,0.1499594034181157,2.9559319010989,0.14265634079082873,2.2943580692307686,1.4850123956043952,1.140989256043956,0.985958549450549,0.7051048703296702,2.7699924296703284,3.203717362637364,2.194120648351647,2.815819382417583,1.7534439593406594,0.44979977856806597,1.9256688186813191,1.6614958271428573,1.9888297873626377,1.9513293895098907,1.9989073857142854,2.1795394069230762,0.6001665537851759,1.5998253818681312,0.5888507067802198,2.8016152527472533,1.7190562230769237,2.0305018175824174,2.098857224175824,2.0572006065934056,1.4971562175824162,2.231052131868131,0.7652966406593409
2004,0.8970017261072207,0.39593592838887437,0.4052773744624116,0.13004469904545,1.1576223604395603,0.57242216676695,2.254045315161531,0.6410436937837405,0.47668650320036754,1.2261577867032967,0.41107754748894393,0.5411302871485715,0.45749456040646197,0.05869255907901762,0.3485153953305208,1.7681925581586808,2.224746368604709,1.6932557090219784,0.6899311836624393,1.5552750231589758,0.0008738481136280219,2.547547132727473,0.0772406670487912,0.7089926260396583,0.459504662327232,0.31515583076923076,0.7649531031868131,0.5974914691318682,0.4256534400946495,1.6848634945054948,0.35042581861846156,1.6912459296703306,0.5335572604395604,1.3995199934065936,0.8736197582417583,0.38834642019340654,0.7929979077556046,2.6371951648351657,2.114454153846153,0.9650134574725278,0.2463476468366559,0.0069094710179512875,0.6097303326527471,0.26510056925411307,0.3263459563207616,0.1871905330201075,0.3754000343956042,0.35520860975365937,0.14917522412501086,0.18039479981274723,0.29437895734505504,2.1952233153846152,1.4443533274725275,2.130505934065934,1.756336259340659,1.833833969230769,1.121766514285714,2.1897829890109897,0.5836753131868133
2005,2.0889069747252744,0.7803815441758241,0.4811626600725274,0.12531186867912095,1.6853236714285715,1.6708250161739433,2.7209297660340828,2.103392957645441,1.9068177899539627,2.5095378571428575,1.6204013857142856,2.117392883076923,1.347663732281209,0.19084938887681138,0.8180482295604394,2.152422442967032,2.3961877818801782,2.0082202967032967,1.6743020967032964,2.746344085396946,0.07486312485382418,2.4241289279675593,1.120516934065934,1.045021751296703,0.8829115485364344,1.6790057252747255,1.828998835164835,0.8299041076923082,1.1279507959719124,2.6385879560439567,0.867427854846089,2.3607837032967036,1.2804854802197807,1.1892169230769232,1.417176189010989,0.26903894752527474,0.9743262272863625,2.6288929120879128,2.2959159780219776,1.2275550120549448,0.771290744135165,0.0009879450210776455,0.6977803065049626,0.059927497677025564,0.5775129888291214,0.672035132147088,0.5235726826153846,0.7217143896706355,0.03694930811731427,0.4270320271153847,0.44276191096703305,2.282953296703297,0.5620036439560437,2.022678241758242,1.8818254945054944,1.874228857142857,1.3148052934065937,2.0459580219780227,0.729330241758242
2006,1.1264618426098678,0.9696439127664835,0.834235588030122,0.21716146528223085,1.7713635010989008,0.3198724680019799,1.0777981167744413,0.8242144537261207,0.7274501302283263,0.8750277264065937,0.6157361565971867,2.2334146999999995,0.7445001840815962,0.2054402521442808,0.8720955535259338,0.8785219291208789,0.3648563109372419,1.06611759010989,0.7459543089450549,1.6222275647684723,0.00021076374552713245,0.4457278088854319,0.15010976397525375,0.1299077492643696,0.13380340257162052,0.8361659428571434,0.41094738296703315,0.00010577877235164839,0.16267936201551753,1.7835949912087923,0.18001103134629343,0.9283638197802199,0.5089841329670332,0.6541631648351645,0.5029963439560438,0.23335043923076926,1.8949360743219783,2.2721937362637368,1.7934101109890106,2.1939457142857144,0.9334990527472526,0.2191957290830287,1.485596405164835,0.38019224488703296,0.9402741954532416,0.8505063999999997,1.2417079692307695,1.0358180571484616,0.5897278302813188,0.3717365524274725,0.17743513167912087,1.419106506593406,0.7150359076923076,1.9220733846153844,0.9873768054945059,1.1204289802197802,0.39105864604395624,1.2960562637362636,0.2174514934065933
2007,0.9412333893118406,0.7573976966142419,0.9854490591486794,0.42783811253628135,1.4522689494505499,0.4202246981486297,1.5968100299689805,1.32283402635739,1.0649826934721724,1.0966048894505493,0.7914207780286945,2.241142590934505,1.13912148580199,0.44060840566259646,0.7291494965169723,0.8409589117956484,0.3897859499936082,0.8440540237858681,0.6023627375076769,1.9860672510317878,0.003504250750280648,0.37265333034556863,0.05684024791396155,0.16380224352923048,0.019559282314148156,0.9386716527472533,0.49120704006593435,0.16037774143736266,0.05796236124503793,1.3212802747252739,0.11930967632465926,1.1771797725274726,0.49848410439560437,0.5494192549450551,0.5180278424175822,0.024171421219226146,3.0504144615384625,2.495487868131867,1.4652041758241758,2.7560448351648357,1.4993681318681322,0.1128216347286813,2.419910879120879,0.30702940780219773,0.4149951065274725,0.5836983296703299,0.27258643826373635,1.2113036593406596,0.20895946028109888,0.25259148252747254,0.5537607307692313,2.057120923076924,0.9338119560439568,2.3416166153846154,1.5190856978021983,1.367461182417582,0.907354707692308,1.694369450549451,0.44723517428571413
2008,0.880970116595824,0.596730312580041,0.9135989192364643,0.5412178478040832,2.009806292307692,0.28316849343560885,1.809247903085058,1.4006494469339097,1.1901413058973194,0.6538344824175824,0.519570448613479,1.689220694269641,1.6724201876929234,0.41457337924326737,0.8780214561494586,0.3449125369010989,0.9303236625483268,0.4416137352527473,0.18652902318538458,1.640368682996923,0.025725365553241883,0.7163366856638872,0.3767542716594505,0.2112428633975055,0.01794341751278338,0.36602826076923073,0.40928386043956044,0.3528223672708791,0.10027500419625782,0.9294239648351649,0.2081805892226263,0.5607662332967037,0.6512907296703296,1.1434600890109892,0.5453504279120884,0.0639113875164835,0.46758213231417584,2.964142417582418,2.270591208791209,0.9007972736263735,0.43976631978021974,0.13568606231010466,0.537042920879121,0.34254702439747253,0.3217165961123232,0.43067869472527476,0.11908673331438538,0.2650502998777949,0.2522553417814273,1.1586398615384612,0.23422294410527322,2.1646903736263727,1.4966294032967036,1.8455415219780225,1.9603385879120887,1.6448895000000001,1.5215685,1.8444097197802196,0.5640051294505495
2009,1.3671234714285714,0.475807865934066,0.6961193280588096,0.14526957331274187,0.7932294428571427,0.6310157597258901,1.7354854899319445,0.5787927464940632,0.5190797166687693,0.9353001549450549,1.2788892780219778,1.7277756029670321,1.1561093849086814,0.3181256530567228,0.9301749890868131,1.1946703732697799,0.0074105854903862714,1.0363882519879122,0.8239604168230769,1.557127732967032,0.001538315714934066,0.35905424004257164,0.8618412684615382,0.7149431965934067,0.11997396595054945,1.4707513538461539,0.7195893635164837,0.3721494677054948,0.16291143684768244,2.5603817208791195,0.7590777820169231,1.6567080571428572,1.5993767912087913,1.2742635868131864,1.765815649450549,0.8108852109890112,0.6974910219780217,2.442215505494506,1.7661252417582423,2.081820645054945,0.14734337032967032,0.007439402096762309,1.4081879472527477,0.08545119790065933,0.5330254732746154,1.164469844065934,0.04565051249010989,0.6123471181557473,0.06715599543956043,0.8748102246225274,0.022051851039798488,2.0494899241758238,1.0613743274725278,1.8298005857142863,1.8890618571428572,1.9164831098901092,1.4602318076923084,1.8668814021978029,0.5087932084615386
2010,2.773387818461539,1.7594408618467032,1.9889070885678597,1.1990685014641154,1.904126813186813,0.47935158028308816,1.6023173331672977,2.4600903664782066,2.2579309240374026,2.7732622865934067,2.0705123759788147,0.8461908261141762,2.5770433107605935,0.05082562391245154,2.210643837041428,2.129159309358241,1.498556038233753,3.025484,0.5019020728793406,3.2372759107558333,0.8743942053633955,2.269848718670276,1.6015502589010986,1.4508173534901103,0.31732492550153946,1.5948822175824175,1.724382243956044,1.6654022098901098,1.127517986608959,2.823350835164834,1.0377819139693907,2.5097951648351637,1.5736455934065934,1.7390160439560445,1.6181020714285717,0.8740514890109886,1.6691356767032954,2.3415440285714273,1.869551910989011,1.7296475912087907,0.2864408165956045,4.4335511001921084e-08,0.4616764551813188,0.13582301005701863,0.18172260545276497,0.2419334256415523,0.00807240376373803,0.22636679459706754,0.09037881118058153,0.1221956771163818,0.057924068649167056,1.1858438725274725,0.7017622073626372,1.8267685659340658,1.6192367483516485,1.5573097703296719,0.9624384946153847,1.4331511098901095,0.6400019439560436
